,original sentence,corrected sentence,error indices,corrected indices,error-corr pair,error label,l1,Approximate level,split
2029,"Det är okej om ledarna förbjuden coca cola eftersom det leder till några sjukdomar som vi inte känner till , och det påverkar människors hälsa mycket på dåligt sätt ett , tror jag .","Det är okej om ledarna förbjuder coca cola eftersom det leder till några sjukdomar som vi inte känner till , och det påverkar människors hälsa mycket på dåligt sätt ett , tror jag .",23-31,23-31,förbjuden--förbjuder,L-Der,"Franska, Lingala, Swahili",Fortsättning,train
2030,"Det är okej om ledarna förbjuder coca cola eftersom det kommer med några sjukdomar som vi inte känner till , och det påverkar människors hälsa mycket på dåligt sätt ett , tror jag .","Det är okej om ledarna förbjuder coca cola eftersom det leder till några sjukdomar som vi inte känner till , och det påverkar människors hälsa mycket på dåligt sätt ett , tror jag .",56-65,56-65,kommer med--leder till,L-W,"Franska, Lingala, Swahili",Fortsättning,train
2031,"Det är okej om ledarna förbjuder coca cola eftersom det leder till några sjukdomar som vi inte vet , och det påverkar människors hälsa mycket på dåligt sätt ett , tror jag .","Det är okej om ledarna förbjuder coca cola eftersom det leder till några sjukdomar som vi inte känner till , och det påverkar människors hälsa mycket på dåligt sätt ett , tror jag .",95-97,95-105,vet--känner till,L-W,"Franska, Lingala, Swahili",Fortsättning,train
2032,"Det är okej om ledarna förbjuder coca cola eftersom det leder till några sjukdomar som vi inte känner till , men det påverkar människors hälsa mycket på dåligt sätt ett , tror jag .","Det är okej om ledarna förbjuder coca cola eftersom det leder till några sjukdomar som vi inte känner till , och det påverkar människors hälsa mycket på dåligt sätt ett , tror jag .",109-111,109-111,men--och,L-W,"Franska, Lingala, Swahili",Fortsättning,train
2033,"Det är okej om ledarna förbjuder coca cola eftersom det leder till några sjukdomar som vi inte känner till , och det påverkar människors hälsa mycket på dåligt sätt ett , tycker jag .","Det är okej om ledarna förbjuder coca cola eftersom det leder till några sjukdomar som vi inte känner till , och det påverkar människors hälsa mycket på dåligt sätt ett , tror jag .",171-176,171-174,tycker--tror,L-W,"Franska, Lingala, Swahili",Fortsättning,train
2034,"För det tredje gör coca cola att människor blir feta även om de tränar mycket , och när man börjar konsumera cola kan man börja gilla att dricka cola nästan varje dag , sen kan man har problem med tänderna , och det kostar mycket pengar med tandläkare .","För det tredje gör coca cola att människor blir feta även om de tränar mycket , och när man börjar konsumera cola kan man börja gilla att dricka cola nästan varje dag , sen kan man få problem med tänderna , och det kostar mycket pengar med tandläkare .",181-183,181-182,har--få,L-W,"Franska, Lingala, Swahili",Fortsättning,train
2035,"För det tredje gör coca cola att människor blir feta även om de tränar mycket , och när man börjar konsumera cola kan man börja gilla att dricka cola nästan varje dag , sen kan man få problem med tänderna , och det kostar mycket pengar för tandläkare .","För det tredje gör coca cola att människor blir feta även om de tränar mycket , och när man börjar konsumera cola kan man börja gilla att dricka cola nästan varje dag , sen kan man få problem med tänderna , och det kostar mycket pengar med tandläkare .",236-238,236-238,för--med,L-W,"Franska, Lingala, Swahili",Fortsättning,train
2036,För att bygga en bra miljö och en god hälsa för människor är det bra att förbjuda coca cola .,För att skapa en bra miljö och en god hälsa för människor är det bra att förbjuda coca cola .,8-12,8-12,bygga--skapa,L-W,"Franska, Lingala, Swahili",Fortsättning,train
2037,För att skapa en bra miljö och en bra hälsa för människor är det bra att förbjuda coca cola .,För att skapa en bra miljö och en god hälsa för människor är det bra att förbjuda coca cola .,34-36,34-36,bra--god,L-W,"Franska, Lingala, Swahili",Fortsättning,train
2038,"Om vi förbjuden coca cola , vad ska då hända med människorna som jobbar på colaföretagen ?","Om vi förbjuder coca cola , vad ska då hända med människorna som jobbar på colaföretagen ?",6-14,6-14,förbjuden--förbjuder,L-Der,"Franska, Lingala, Swahili",Fortsättning,train
2039,"Om vi förbjuder coca cola , vad ska då hända med människorna som jobbar på cola företagen ?","Om vi förbjuder coca cola , vad ska då hända med människorna som jobbar på colaföretagen ?",75-88,75-87,cola företagen--colaföretagen,O-Comp,"Franska, Lingala, Swahili",Fortsättning,train
2040,Det kommer att bli många arbetelösa och det kan påverka ekonomin också .,Det kommer att bli många arbetslösa och det kan påverka ekonomin också .,25-34,25-34,arbetelösa--arbetslösa,L-Der,"Franska, Lingala, Swahili",Fortsättning,train
2041,"Att förbjuden cola kan göra att många människor blir väldigt ledsna , och ledare , de är inte ledare för att göra folk ledsna .","Att förbjuda cola kan göra att många människor blir väldigt ledsna , och ledare , de är inte ledare för att göra folk ledsna .",4-12,4-11,förbjuden--förbjuda,L-Der,"Franska, Lingala, Swahili",Fortsättning,train
2042,"Därför ska inspektörerna ha modiga att kommunicera sanningsenligt vad de egentligen konstaterade vid inspektionen , och de ska berätta för alla hur mycket cola vi får konsumera .","Därför ska inspektörerna ha modet att kommunicera sanningsenligt vad de egentligen konstaterade vid inspektionen , och de ska berätta för alla hur mycket cola vi får konsumera .",28-33,28-32,modiga--modet,L-Der,"Franska, Lingala, Swahili",Fortsättning,train
2043,"Därför ska inspektörerna ha modet att kommunicera i sanning vad de egentligen konstaterade vid inspektionen , och de ska berätta för alla hur mycket cola vi får konsumera .","Därför ska inspektörerna ha modet att kommunicera sanningsenligt vad de egentligen konstaterade vid inspektionen , och de ska berätta för alla hur mycket cola vi får konsumera .",50-58,50-63,i sanning--sanningsenligt,L-W,"Franska, Lingala, Swahili",Fortsättning,train
2044,"Därför ska inspektörerna ha modet att kommunicera sanningsenligt vad de egentligen konstaterade efter inspektionen , och de ska berätta för alla hur mycket cola vi får konsumera .","Därför ska inspektörerna ha modet att kommunicera sanningsenligt vad de egentligen konstaterade vid inspektionen , och de ska berätta för alla hur mycket cola vi får konsumera .",96-100,96-98,efter--vid,L-W,"Franska, Lingala, Swahili",Fortsättning,train
2045,"Därför ska inspektörerna ha modet att kommunicera sanningsenligt vad de egentligen konstaterade vid expektion , och de ska berätta för alla hur mycket cola vi får konsumera .","Därför ska inspektörerna ha modet att kommunicera sanningsenligt vad de egentligen konstaterade vid inspektionen , och de ska berätta för alla hur mycket cola vi får konsumera .",100-108,100-111,expektion--inspektionen,L-Der,"Franska, Lingala, Swahili",Fortsättning,train
2046,"Därför ska inspektörerna ha modet att kommunicera sanningsenligt vad de egentligen konstaterade vid inspektionen , och de ska berätta till alla hur mycket cola vi får konsumera .","Därför ska inspektörerna ha modet att kommunicera sanningsenligt vad de egentligen konstaterade vid inspektionen , och de ska berätta för alla hur mycket cola vi får konsumera .",134-137,134-136,till--för,L-W,"Franska, Lingala, Swahili",Fortsättning,train
2047,Det var år 2012 och jag hade 18 år när jag träffade en tjej som hette Karin som blev min första kärlek .,Det var år 2012 och jag var 18 år när jag träffade en tjej som hette Karin som blev min första kärlek .,24-27,24-26,hade--var,L-W,"Franska, Kirundi",Nybörjare,train
2048,När jag anlände i skolan såg jag en tjej .,När jag anlände till skolan såg jag en tjej .,16-16,16-19,i--till,L-W,"Franska, Kirundi",Nybörjare,train
2049,"Hon var snygg , blyg , och jag var ” vad fan , hur kan hon vara så vacker ?","Hon var snygg , blyg , och jag tänkte ” vad fan , hur kan hon vara så vacker ?",31-33,31-36,var--tänkte,L-W,"Franska, Kirundi",Nybörjare,train
2050,"Fyra veckor efter det fick jag höra att vi hade en gemensam vän som hette Anna , och jag ringde Anna dagen efter och berättade till henne att jag älskade hennes vän Karin som var min ” crush ” .","Fyra veckor efter det fick jag höra att vi hade en gemensam vän som hette Anna , och jag ringde Anna dagen efter och berättade för henne att jag älskade hennes vän Karin som var min ” crush ” .",127-130,127-129,till--för,L-W,"Franska, Kirundi",Nybörjare,train
2051,"Hon fixade ett möte för att jag skulle kunna prata med Karin , och vi upptäckte sen att vi gillade samma saker och åt samma mat .","Hon fixade ett möte så att jag skulle kunna prata med Karin , och vi upptäckte sen att vi gillade samma saker och åt samma mat .",20-22,20-21,för--så,L-W,"Franska, Kirundi",Nybörjare,train
2052,Men efter gymnasiet tappade jag kontakten därför att hon gick till A-land .,Men efter gymnasiet tappade jag kontakten därför att hon flyttade till A-land .,57-60,57-64,gick--flyttade,L-W,"Franska, Kirundi",Nybörjare,train
2053,"Nu är jag ensam och jag är glad för det därför att jag har fred i mitt hjärta och tror att jag är för ung för det , jag menar ” kärlek ” .","Nu är jag ensam och jag är glad för det därför att jag har frid i mitt hjärta och tror att jag är för ung för det , jag menar ” kärlek ” .",59-62,59-62,fred--frid,L-W,"Franska, Kirundi",Nybörjare,train
2054,Det var ett av de vackraste moments i mitt liv när jag träffade min första kärlek .,Det var ett av de vackraste ögonblicken i mitt liv när jag träffade min första kärlek .,28-34,28-38,moments--ögonblicken,L-FL,Arabiska,Nybörjare,train
2055,Mötet var medan jag gick i gymnasiet .,Mötet skedde medan jag gick i gymnasiet .,6-8,6-11,var--skedde,L-W,Arabiska,Nybörjare,train
2056,"Han kom från annan stad till min by , och jag träffade honom av en slump när han var tillbaka .","Han kom från annan stad till min by , och jag träffade honom av en slump när han kom tillbaka .",81-83,81-83,var--kom,L-W,Arabiska,Nybörjare,train
2057,Vi träffades i några minuter och när han gick kände jag att mitt hjärta slutade .,Vi träffades i några minuter och när han gick kände jag att mitt hjärta stannade .,72-78,72-79,slutade--stannade,L-W,Arabiska,Nybörjare,train
2058,Jag kände mycket glad när han ringde mig .,Jag blev mycket glad när han ringde mig .,4-8,4-7,kände--blev,L-W,Arabiska,Nybörjare,train
2059,"Han bodde i A-stad och jag bodde i B-stad , det var lite svårt för oss darför att vi var från olika städer , fast vi höll kontakten alltid .","Han bodde i A-stad och jag bodde i B-stad , det var lite svårt för oss för att vi var från olika städer , fast vi höll kontakten alltid .",71-76,71-73,darför--för,L-W,Arabiska,Nybörjare,train
2060,"Han bodde i A-stad och jag bodde i B-stad , det var lite svårt för oss för att vi var från olika städer , fastän vi höll kontakten alltid .","Han bodde i A-stad och jag bodde i B-stad , det var lite svårt för oss för att vi var från olika städer , fast vi höll kontakten alltid .",106-111,106-109,fastän--fast,L-W,Arabiska,Nybörjare,train
2061,"Han bodde i A-stad och jag bodde i B-stad , det var lite svårt för oss för att vi var från olika städer , fast vi kontaktas alltid .","Han bodde i A-stad och jag bodde i B-stad , det var lite svårt för oss för att vi var från olika städer , fast vi höll kontakten alltid .",114-122,114-127,kontaktas--höll kontakten,L-W,Arabiska,Nybörjare,train
2062,Jag och han kände att våra hjärtan slog snabbt då vi pratade med varandra .,Jag och han kände att våra hjärtan slog snabbt när vi pratade med varandra .,47-48,47-49,då--när,L-W,Arabiska,Nybörjare,train
2063,En dag hade han rest utanför från B-land .,En dag hade han rest ut från B-land .,21-27,21-22,utanför--ut,L-W,Arabiska,Nybörjare,train
2064,i den tiden kände jag mig mycket ledsen och jag grät mycket för att han var långt ifrån mig .,Under den tiden kände jag mig mycket ledsen och jag grät mycket för att han var långt ifrån mig .,0-0,0-4,i--Under,L-W,Arabiska,Nybörjare,train
2065,Under den tiden kände jag mig mycket ledsen och jag grät mycket för att han blev långt ifrån mig .,Under den tiden kände jag mig mycket ledsen och jag grät mycket för att han var långt ifrån mig .,76-79,76-78,blev--var,L-W,Arabiska,Nybörjare,train
2066,"Min första erfarenhet av kärlek hände jag när jag var väldigt mycket för ung för sådana saker , och det var egentligen min farmor som ordnade den .","Min första erfarenhet av kärlek fick jag när jag var väldigt mycket för ung för sådana saker , och det var egentligen min farmor som ordnade den .",32-36,32-35,hände--fick,L-W,Engelska,Nybörjare,train
2067,Den egna andra sak jag minns om Anders är att han hade brunt hår och att han var starkare än jag .,Den enda andra sak jag minns om Anders är att han hade brunt hår och att han var starkare än jag .,4-7,4-7,egna--enda,L-W,Engelska,Nybörjare,train
2068,"Vi älskade varandra som bästa vänner , men farmor och Anders-gen mormor trodde att det var roligt att tvinga oss att krama och pussa varandra .","Vi älskade varandra som bästa vänner , men farmor och Anders-gen mormor tyckte att det var roligt att tvinga oss att krama och pussa varandra .",72-77,72-77,trodde--tyckte,L-W,Engelska,Nybörjare,train
2069,Vi kände oss lite skäma inför sådana saker och ville bara leka i trädgården tillsammans .,Vi kände oss lite förlägna inför sådana saker och ville bara leka i trädgården tillsammans .,18-22,18-25,skäma--förlägna,L-W,Engelska,Nybörjare,train
2070,Vi kände oss lite förlägna av sådana saker och ville bara leka i trädgården tillsammans .,Vi kände oss lite förlägna inför sådana saker och ville bara leka i trädgården tillsammans .,27-28,27-31,av--inför,L-W,Engelska,Nybörjare,train
2071,En varm sommar dag såg jag Anders för sista gången .,En varm sommardag såg jag Anders för sista gången .,8-17,8-16,sommar dag--sommardag,O-Comp,Engelska,Nybörjare,train
2072,En varm sommardag såg jag Anders i sista gången .,En varm sommardag såg jag Anders för sista gången .,33-33,33-35,i--för,L-W,Engelska,Nybörjare,train
2073,"Jag kände mig sorligt , eftersom jag visste att en del av mitt liv , den del som jag levde med Anders i trädgården , var slut .","Jag kände mig sorgsen , eftersom jag visste att en del av mitt liv , den del som jag levde med Anders i trädgården , var slut .",14-20,14-20,sorligt--sorgsen,L-Der,Engelska,Nybörjare,train
2074,Min bror tycker om skordaspel * och han hade en vän som han träffade medan de båda höll på med det .,Min bror tycker om skådespeleri * och han hade en vän som han träffade medan de båda höll på med det .,19-28,19-30,skordaspel--skådespeleri,L-Der,Engelska,Nybörjare,train
2075,Min bror tycker om skådespeleri * och han hade en vän som han träffade medan de både höll på med det .,Min bror tycker om skådespeleri * och han hade en vän som han träffade medan de båda höll på med det .,80-83,80-83,både--båda,L-Der,Engelska,Nybörjare,train
2076,Min bror tycker om skådespeleri * och han hade en vän som han träffade medan de båda göra med det .,Min bror tycker om skådespeleri * och han hade en vän som han träffade medan de båda höll på med det .,85-88,85-91,göra--höll på,L-W,Engelska,Nybörjare,train
2077,"Hans vän var elva år gammal , samma som jag , och vi började båda i en ny skola .","Hans vän var elva år gammal , precis som jag , och vi började båda i en ny skola .",30-34,30-35,samma--precis,L-W,Engelska,Nybörjare,train
2078,"Hans vän var elva år gammal , precis som jag , och vi starta båda i en ny skola .","Hans vän var elva år gammal , precis som jag , och vi började båda i en ny skola .",54-59,54-60,starta--började,L-W,Engelska,Nybörjare,train
2079,"Hans vän var elva år gammal , precis som jag , och vi började både i en ny skola .","Hans vän var elva år gammal , precis som jag , och vi började båda i en ny skola .",62-65,62-65,både--båda,L-Der,Engelska,Nybörjare,train
2080,En dag fanns jag sent till en lektion .,En dag kom jag sent till en lektion .,7-11,7-9,fanns--kom,L-W,Engelska,Nybörjare,train
2081,"Jag kände att jag tyckte om henne , men det fanns flera år tills jag bjöd ut henne .","Jag kände att jag tyckte om henne , men det dröjde flera år tills jag bjöd ut henne .",44-48,44-49,fanns--dröjde,L-W,Engelska,Nybörjare,train
2082,"Jag kände att jag tyckte om henne , men det dröjde flera år till jag bjöd ut henne .","Jag kände att jag tyckte om henne , men det dröjde flera år tills jag bjöd ut henne .",60-63,60-64,till--tills,L-W,Engelska,Nybörjare,train
2083,"Jag kände att jag tyckte om henne , men det dröjde flera år tills jag frågade ut henne .","Jag kände att jag tyckte om henne , men det dröjde flera år tills jag bjöd ut henne .",70-76,70-73,frågade--bjöd,L-W,Engelska,Nybörjare,train
2084,Vi var tillsammans till hon började på universitetet .,Vi var tillsammans tills hon började på universitetet .,19-22,19-23,till--tills,L-W,Engelska,Nybörjare,train
2085,Vi var tillsammans tills hon gick på universitetet .,Vi var tillsammans tills hon började på universitetet .,29-32,29-35,gick--började,L-W,Engelska,Nybörjare,train
2086,Jag var ledsen men två år efter träffade jag min sambo och nu har jag bott lycklig i Lövsta i två år .,Jag var ledsen men två år senare träffade jag min sambo och nu har jag bott lycklig i Lövsta i två år .,26-30,26-31,efter--senare,L-W,Engelska,Nybörjare,train
2087,Men jag blev sakert upp över öronen förälskad i honom .,Men jag blev helt klart upp över öronen förälskad i honom .,13-18,13-22,sakert--helt klart,L-W,"Arameiska, Ryska",Nybörjare,train
2088,Vi träffades ofta under tiden vi var i skolan .,Vi träffades ofta medan vi var i skolan .,18-28,18-22,under tiden--medan,L-W,"Arameiska, Ryska",Nybörjare,train
2089,"Men det var inte ett seriöst förhållande , så vi höll inte kontakten efter skolan var slut .","Men det var inte ett seriöst förhållande , så vi höll inte kontakten när skolan var slut .",69-73,69-71,efter--när,L-W,"Arameiska, Ryska",Nybörjare,train
2090,Jag var 13 år när jag träffade min första kärlek och nu tänker jag om det .,Jag var 13 år när jag träffade min första kärlek och nu tänker jag på det .,67-68,67-68,om--på,L-W,Spanska,Nybörjare,train
2091,Hon var min kärlek för en jättelång tid .,Hon var min kärlek under en jättelång tid .,19-21,19-23,för--under,L-W,Spanska,Nybörjare,train
2092,Hon var min kärlek under en jätte lang tid .,Hon var min kärlek under en jättelång tid .,28-37,28-36,jätte lang--jättelång,O-Comp,Spanska,Nybörjare,train
2093,När jag flyttade tillbaka till B-land efter 3 månader här i Sund var det många saker som var kylnad .,När jag flyttade tillbaka till B-land efter 3 månader här i Sund var det många saker som var annorlunda .,93-98,93-102,kylnad--annorlunda,L-W,Spanska,Nybörjare,train
2094,Vi hade två nya klass kamrater och en ny lärare .,Vi hade två nya klasskamrater och en ny lärare .,16-29,16-28,klass kamrater--klasskamrater,O-Comp,Spanska,Nybörjare,train
2095,Det var kult att se men det var en av de nya flickorna som jag var jätteintresserad av .,Det var roligt att se men det var en av de nya flickorna som jag var jätteintresserad av .,8-11,8-13,kult--roligt,L-W,Spanska,Nybörjare,train
2096,Det var roligt att se men det var en av de nya flickorna som jag var jätte intreserad av .,Det var roligt att se men det var en av de nya flickorna som jag var jätteintresserad av .,69-84,69-84,jätte intreserad--jätteintresserad,O-Comp,Spanska,Nybörjare,train
2097,Det var roligt att se men det var en av de nya flickorna som jag var jätteintresserad på .,Det var roligt att se men det var en av de nya flickorna som jag var jätteintresserad av .,86-87,86-87,på--av,L-W,Spanska,Nybörjare,train
2098,Hon hade bott i A-land för flera år .,Hon hade bott i A-land i flera år .,23-25,23-23,för--i,L-W,Spanska,Nybörjare,train
2099,Den dagen var jätte spenande för mig för jag hade aldrig i mitt liv trott att hon skulle gå ut med mig .,Den dagen var jättespännande för mig för jag hade aldrig i mitt liv trott att hon skulle gå ut med mig .,14-27,14-27,jätte spenande--jättespännande,O-Comp,Spanska,Nybörjare,train
2100,Den dagen var jättespännande för mig darfor jag hade aldrig i mitt liv trott att hon skulle gå ut med mig .,Den dagen var jättespännande för mig för jag hade aldrig i mitt liv trott att hon skulle gå ut med mig .,37-42,37-39,darfor--för,L-W,Spanska,Nybörjare,train
2101,Den dagen var jättespännande för mig för jag hade aldrig i mitt liv tänkade att hon skulle gå ut med mig .,Den dagen var jättespännande för mig för jag hade aldrig i mitt liv trott att hon skulle gå ut med mig .,68-74,68-72,tänkade--trott,L-W,Spanska,Nybörjare,train
2102,"Vi åt lunch på ett snyggt café , vi pratade och skrattade jätte mycket .","Vi åt lunch på ett snyggt café , vi pratade och skrattade jättemycket .",58-69,58-68,jätte mycket--jättemycket,O-Comp,Spanska,Nybörjare,train
2103,"Jag tänker om henne kanske två eller tre gånger om dagen , men nu har hon en pojkvän och hon ser glad ut och därför är jag också glad för hennes skull .","Jag tänker på henne kanske två eller tre gånger om dagen , men nu har hon en pojkvän och hon ser glad ut och därför är jag också glad för hennes skull .",11-12,11-12,om--på,L-W,Spanska,Nybörjare,train
2104,"Jag tänker på henne kanske två eller tre gånger i dagen , men nu har hon en pojkvän och hon ser glad ut och därför är jag också glad för hennes skull .","Jag tänker på henne kanske två eller tre gånger om dagen , men nu har hon en pojkvän och hon ser glad ut och därför är jag också glad för hennes skull .",48-48,48-49,i--om,L-W,Spanska,Nybörjare,train
2105,Det var första gången att jag fick ett email som det blev intressant för mig .,Det var första gången som jag fick ett email som det blev intressant för mig .,22-24,22-24,att--som,L-W,"Azerbaijani, Persiska",Nybörjare,train
2106,Det var första gången som jag fick ett email att det blev intressant för mig .,Det var första gången som jag fick ett email som det blev intressant för mig .,45-47,45-47,att--som,L-W,"Azerbaijani, Persiska",Nybörjare,train
2107,Det var första gången som jag fick ett email som det var intressant för mig .,Det var första gången som jag fick ett email som det blev intressant för mig .,53-55,53-56,var--blev,L-W,"Azerbaijani, Persiska",Nybörjare,train
2108,Jag såg honom inte .,Jag träffade honom inte .,4-6,4-11,såg--träffade,L-W,"Azerbaijani, Persiska",Nybörjare,train
2109,"Jag pratade i 4 timmar under en dag med honom , så jag förstod att han var allvarlig i mitt liv .","Jag pratade i 4 timmar under en dag med honom , så jag förstod att han var viktig i mitt liv .",75-83,75-80,allvarlig--viktig,L-W,"Azerbaijani, Persiska",Nybörjare,train
2110,"Vi höll kontakten för 3 månader , sedan träffade vi varandra i C-land .","Vi höll kontakten i 3 månader , sedan träffade vi varandra i C-land .",18-20,18-18,för--i,L-W,"Azerbaijani, Persiska",Nybörjare,train
2111,Han skickade många vackra blommor varje lördag därför att vi pratade och träffades i en lördag .,Han skickade många vackra blommor varje lördag därför att vi pratade och träffades på en lördag .,83-83,83-84,i--på,L-W,"Azerbaijani, Persiska",Nybörjare,train
2112,Han lade inte märke till mig men jag blev inte besviken eftersom jag önskade att han skulle bli kärlek i mig .,Han lade inte märke till mig men jag blev inte besviken eftersom jag önskade att han skulle bli kär i mig .,96-101,96-98,kärlek--kär,L-Der,Persiska,Nybörjare,train
2113,Han lade inte märke till mig men jag blev inte besviken eftersom jag önskade att han skulle bli kär mot mig .,Han lade inte märke till mig men jag blev inte besviken eftersom jag önskade att han skulle bli kär i mig .,100-102,100-100,mot--i,L-W,Persiska,Nybörjare,train
2114,Jag var blyg och skulle inte prata med honom .,Jag var blyg och vågade inte prata med honom .,17-22,17-22,skulle--vågade,L-W,Persiska,Nybörjare,train
2115,Han var tvärtom jätte social och snäll .,Han var tvärtom jättesocial och snäll .,16-27,16-26,jätte social--jättesocial,O-Comp,Persiska,Nybörjare,train
2116,Han hade alltid ett leende på ansiktet och rolig humor .,Han hade alltid ett leende i ansiktet och rolig humor .,27-28,27-27,på--i,L-W,Persiska,Nybörjare,train
2117,"En dag vågade jag , och när jag såg honom igen gick jag förbi så nära och sa mina känslor för honom .","En dag vågade jag , och när jag såg honom igen gick jag förbi så nära och om talade mina känslor för honom .",74-75,74-82,sa--om talade,L-W,Persiska,Nybörjare,train
2118,"En dag vågade jag , och när jag såg honom igen gick jag förbi så nära och om talade mina känslor till honom .","En dag vågade jag , och när jag såg honom igen gick jag förbi så nära och om talade mina känslor för honom .",97-100,97-99,till--för,L-W,Persiska,Nybörjare,train
2119,"Han hade samma känslor mot mig , sa han till mig .","Han hade samma känslor för mig , sa han till mig .",23-25,23-25,mot--för,L-W,Persiska,Nybörjare,train
2120,Efter några månader bestämde vi som vi skulle hålla kontakten med varandra .,Efter några månader bestämde vi att vi skulle hålla kontakten med varandra .,32-34,32-34,som--att,L-W,Persiska,Nybörjare,train
2121,Det var före 2003 När jag träffade min kärlek på bussen .,Det var före 2003 som jag träffade min kärlek på bussen .,18-20,18-20,När--som,L-W,Arabiska,Nybörjare,train
2122,Det var före 2003 som jag träffade min kärlek i bussen .,Det var före 2003 som jag träffade min kärlek på bussen .,46-46,46-47,i--på,L-W,Arabiska,Nybörjare,train
2123,Jag studerade i universitetet i A-stad i A-land och jag var 20 år gammal .,Jag studerade på universitetet i A-stad i A-land och jag var 20 år gammal .,14-14,14-15,i--på,L-W,Arabiska,Nybörjare,train
2124,Jag studerade på universitetet i A-stad i A-land och jag hade 20 år gammal .,Jag studerade på universitetet i A-stad i A-land och jag var 20 år gammal .,57-60,57-59,hade--var,L-W,Arabiska,Nybörjare,train
2125,"I början , i bussen , när våra ögon bara möttes , sa han inte ett ord , han sa bara hej , och jag hade många känslor .","I början , på bussen , när våra ögon bara möttes , sa han inte ett ord , han sa bara hej , och jag hade många känslor .",11-11,11-12,i--på,L-W,Arabiska,Nybörjare,train
2126,"Jag och han promenerade i väggen till busshållplatsen , och sen åkte vi med bussen .","Jag och han promenerade iväg till busshållplatsen , och sen åkte vi med bussen .",24-31,24-27,i väggen--iväg,L-W,Arabiska,Nybörjare,train
2127,"Jag och han promenerade iväg till platshållbussen , och sen åkte vi med bussen .","Jag och han promenerade iväg till busshållplatsen , och sen åkte vi med bussen .",34-48,34-48,platshållbussen--busshållplatsen,L-W,Arabiska,Nybörjare,train
2128,"Och sen blev det så att vi träffades varje dag utan att ha tid , men han gav mig sitt mobil nummer , och efter det pratade vi i mobilen .","Och sen blev det så att vi träffades varje dag utan att ha tid , men han gav mig sitt mobilnummer , och efter det pratade vi i mobilen .",86-97,86-96,mobil nummer--mobilnummer,O-Comp,Arabiska,Nybörjare,train
2129,I den här texten kommer jag att berätta varför jag inte tycker att det är väldigt att man använder bilen hela tiden .,I den här texten kommer jag att berätta varför jag inte tycker att det är lämpligt att man använder bilen hela tiden .,74-80,74-81,väldigt--lämpligt,L-W,Grekiska,Nybörjare,train
2130,I dagläget måste man göra någonting för att minska den globala uppvärmningen .,I dagsläget måste man göra någonting för att minska den globala uppvärmningen .,2-9,2-10,dagläget--dagsläget,L-Der,Grekiska,Nybörjare,train
2131,Det är jatte jatte jatte viktigt för oss alla !,Det är jättejättejätteviktigt för oss alla !,7-31,7-28,jatte jatte jatte viktigt--jättejättejätteviktigt,O-Comp,Grekiska,Nybörjare,train
2132,Många människor har bilar och använder dem varje dag för att pendla på jobbet eller för att handla .,Många människor har bilar och använder dem varje dag för att pendla till jobbet eller för att handla .,68-69,68-71,på--till,L-W,Ryska,Nybörjare,train
2133,"Det är många skäl till det , men jag ska bara prata om två .","Det finns många skäl till det , men jag ska bara prata om två .",4-5,4-8,är--finns,L-W,Ryska,Nybörjare,train
2134,␤ First och främst känner vi alla till bilavgaser och hur negativa de är för oss och vår planet .,␤ Först och främst känner vi alla till bilavgaser och hur negativa de är för oss och vår planet .,2-6,2-6,First--Först,L-FL,Ryska,Nybörjare,train
2135,Först och främst vet vi alla till bilavgaser och hur negativa de är för oss och vår planet .,Först och främst känner vi alla till bilavgaser och hur negativa de är för oss och vår planet .,17-19,17-22,vet--känner,L-W,Ryska,Nybörjare,train
2136,Först och främst känner vi alla till bilar avgaser och hur negativa de är för oss och vår planet .,Först och främst känner vi alla till bilavgaser och hur negativa de är för oss och vår planet .,37-49,37-46,bilar avgaser--bilavgaser,L-Der,Ryska,Nybörjare,train
2137,Först och främst känner vi alla till bilar avgaser och hur negativa de är för oss och vår planet .,Först och främst känner vi alla till bilavgaser och hur negativa de är för oss och vår planet .,37-49,37-46,bilar avgaser--bilavgaser,O-Comp,Ryska,Nybörjare,train
2138,"Det är inga människor som inte känner till världens uppvärmning , och vi alla måste jobba tillsammans för att bekämpa den , även med små saker som att avstå från att använda en bil .","Det finns inga människor som inte känner till världens uppvärmning , och vi alla måste jobba tillsammans för att bekämpa den , även med små saker som att avstå från att använda en bil .",4-5,4-8,är--finns,L-W,Ryska,Nybörjare,train
2139,"Det finns inga människor som inte vet om världens uppvärmning , och vi alla måste jobba tillsammans för att bekämpa den , även med små saker som att avstå från att använda en bil .","Det finns inga människor som inte känner till världens uppvärmning , och vi alla måste jobba tillsammans för att bekämpa den , även med små saker som att avstå från att använda en bil .",34-39,34-44,vet om--känner till,L-W,Ryska,Nybörjare,train
2140,"Det finns inga människor som inte känner till världens uppvärmning , och vi alla måste jobba tillsammans för att bekämpa den , även med små saker som att avböja från att använda en bil .","Det finns inga människor som inte känner till världens uppvärmning , och vi alla måste jobba tillsammans för att bekämpa den , även med små saker som att avstå från att använda en bil .",154-159,154-158,avböja--avstå,L-W,Ryska,Nybörjare,train
2141,Till sist är det många ekologiska och billigare alternativ till bilar .,Till sist finns det många ekologiska och billigare alternativ till bilar .,10-11,10-14,är--finns,L-W,Ryska,Nybörjare,train
2142,Till sist finns det många ekologiska och billigare alternativ av bilar .,Till sist finns det många ekologiska och billigare alternativ till bilar .,62-63,62-65,av--till,L-W,Ryska,Nybörjare,train
